airline name,airline code,aircraft type,aircraft registration
9 Air,AQ / JYH,B738 15,B-1472
9 Air,AQ / JYH,B738 15,B-1473
9 Air,AQ / JYH,B738 15,B-1551
9 Air,AQ / JYH,B738 15,B-1552
9 Air,AQ / JYH,B738 15,B-1553
9 Air,AQ / JYH,B738 15,B-1556
9 Air,AQ / JYH,B738 15,B-1592
9 Air,AQ / JYH,B738 15,B-1715
9 Air,AQ / JYH,B738 15,B-1716
9 Air,AQ / JYH,B738 15,B-1719
9 Air,AQ / JYH,B738 15,B-6989
9 Air,AQ / JYH,B738 15,B-6990
9 Air,AQ / JYH,B738 15,B-6991
9 Air,AQ / JYH,B738 15,B-6992
9 Air,AQ / JYH,B738 15,B-7998
ABX Air,GB / ABX,B762 11,N312AA
ABX Air,GB / ABX,B762 11,N740AX
ABX Air,GB / ABX,B762 11,N744AX
ABX Air,GB / ABX,B762 11,N749AX
ABX Air,GB / ABX,B762 11,N750AX
ABX Air,GB / ABX,B762 11,N767AX
ABX Air,GB / ABX,B762 11,N768AX
ABX Air,GB / ABX,B762 11,N773AX
ABX Air,GB / ABX,B762 11,N774AX
ABX Air,GB / ABX,B762 11,N795AX
ABX Air,GB / ABX,B762 11,N797AX
ABX Air,GB / ABX,B763 8,N219CY
ABX Air,GB / ABX,B763 8,N226CY
ABX Air,GB / ABX,B763 8,N317CM
ABX Air,GB / ABX,B763 8,N362CM
ABX Air,GB / ABX,B763 8,N363CM
ABX Air,GB / ABX,B763 8,N364CM
ABX Air,GB / ABX,B763 8,N371CM
ABX Air,GB / ABX,B763 8,N372CM
Adria Airways,JP / ADR,A319 3,S5-AAP
Adria Airways,JP / ADR,A319 3,S5-AAR
Adria Airways,JP / ADR,A319 3,S5-AAX
Adria Airways,JP / ADR,CRJ7 2,S5-AAW
Adria Airways,JP / ADR,CRJ7 2,S5-AAY
Adria Airways,JP / ADR,CRJ9 7,S5-AAK
Adria Airways,JP / ADR,CRJ9 7,S5-AAL
Adria Airways,JP / ADR,CRJ9 7,S5-AAN
Adria Airways,JP / ADR,CRJ9 7,S5-AAO
Adria Airways,JP / ADR,CRJ9 7,S5-AAU
Adria Airways,JP / ADR,CRJ9 7,S5-AAV
Adria Airways,JP / ADR,CRJ9 7,S5-AFA
Adria Airways Switzerland,F7 / DWT,AT75 4,HB-ACA
Adria Airways Switzerland,F7 / DWT,AT75 4,HB-ACB
Adria Airways Switzerland,F7 / DWT,AT75 4,HB-ACC
Adria Airways Switzerland,F7 / DWT,AT75 4,HB-ACD
Adria Airways Switzerland,F7 / DWT,SB20 6,HB-IYD
Adria Airways Switzerland,F7 / DWT,SB20 6,HB-IYI
Adria Airways Switzerland,F7 / DWT,SB20 6,HB-IZH
Adria Airways Switzerland,F7 / DWT,SB20 6,HB-IZJ
Adria Airways Switzerland,F7 / DWT,SB20 6,HB-IZP
Adria Airways Switzerland,F7 / DWT,SB20 6,HB-IZZ
Aegean Airlines,A3 / AEE,A319 1,SX-DGF
Aegean Airlines,A3 / AEE,A320 37,SX-DGB
Aegean Airlines,A3 / AEE,A320 37,SX-DGC
Aegean Airlines,A3 / AEE,A320 37,SX-DGD
Aegean Airlines,A3 / AEE,A320 37,SX-DGE
Aegean Airlines,A3 / AEE,A320 37,SX-DGI
Aegean Airlines,A3 / AEE,A320 37,SX-DGJ
Aegean Airlines,A3 / AEE,A320 37,SX-DGK
Aegean Airlines,A3 / AEE,A320 37,SX-DGL
Aegean Airlines,A3 / AEE,A320 37,SX-DGN
Aegean Airlines,A3 / AEE,A320 37,SX-DGO
Aegean Airlines,A3 / AEE,A320 37,SX-DGR
Aegean Airlines,A3 / AEE,A320 37,SX-DGV
Aegean Airlines,A3 / AEE,A320 37,SX-DGX
Aegean Airlines,A3 / AEE,A320 37,SX-DGY
Aegean Airlines,A3 / AEE,A320 37,SX-DGZ
Aegean Airlines,A3 / AEE,A320 37,SX-DNA
Aegean Airlines,A3 / AEE,A320 37,SX-DNB
Aegean Airlines,A3 / AEE,A320 37,SX-DNC
Aegean Airlines,A3 / AEE,A320 37,SX-DND
Aegean Airlines,A3 / AEE,A320 37,SX-DNE
Aegean Airlines,A3 / AEE,A320 37,SX-DVG
Aegean Airlines,A3 / AEE,A320 37,SX-DVH
Aegean Airlines,A3 / AEE,A320 37,SX-DVI
Aegean Airlines,A3 / AEE,A320 37,SX-DVJ
Aegean Airlines,A3 / AEE,A320 37,SX-DVK
Aegean Airlines,A3 / AEE,A320 37,SX-DVL
Aegean Airlines,A3 / AEE,A320 37,SX-DVM
Aegean Airlines,A3 / AEE,A320 37,SX-DVN
Aegean Airlines,A3 / AEE,A320 37,SX-DVQ
Aegean Airlines,A3 / AEE,A320 37,SX-DVR
Aegean Airlines,A3 / AEE,A320 37,SX-DVS
Aegean Airlines,A3 / AEE,A320 37,SX-DVT
Aegean Airlines,A3 / AEE,A320 37,SX-DVU
Aegean Airlines,A3 / AEE,A320 37,SX-DVV
Aegean Airlines,A3 / AEE,A320 37,SX-DVW
Aegean Airlines,A3 / AEE,A320 37,SX-DVX
Aegean Airlines,A3 / AEE,A320 37,SX-DVY
Aegean Airlines,A3 / AEE,A321 8,SX-DGA
Aegean Airlines,A3 / AEE,A321 8,SX-DGP
Aegean Airlines,A3 / AEE,A321 8,SX-DGQ
Aegean Airlines,A3 / AEE,A321 8,SX-DGS
Aegean Airlines,A3 / AEE,A321 8,SX-DGT
Aegean Airlines,A3 / AEE,A321 8,SX-DVO
Aegean Airlines,A3 / AEE,A321 8,SX-DVP
Aegean Airlines,A3 / AEE,A321 8,SX-DVZ
Aegean Airlines,A3 / AEE,LJ60 1,SX-BNR
